character,gender,good_vs_bad,universe,first_movie,release_year,sentiment_score
'Olu Mel,Male,Neutral,Disney,None,None,5.781037344398339
Chip and Dale,Male,Hero,Disney,Fun and Fancy Free,1947,5.506295232624935
CookieAnn,Female,Heroine,Disney,None,None,5.808731617647061
Daisy Duck,Female,Heroine,Disney,Mickey's Once Upon a Christmas,1999,5.504265768524188
Donald Duck,Male,Hero,Disney,The Reluctant Dragon,1941,5.4933502456309915
Duffy the Disney Bear,Male,Hero,Disney,None,None,5.661150051037772
Gelatoni,Male,Hero,Disney,None,None,5.728546409807353
Goofy,Male,Hero,Disney,The Reluctant Dragon,1941,5.505515974277832
Mickey Mouse,Male,Hero,Disney,Hollywood Party,1934,5.53300835087243
Minnie Mouse,Female,Heroine,Disney,Who Framed Roger Rabbit,1988,5.564767080745337
Pluto,Male,Hero,Disney,The Reluctant Dragon,1941,5.527537328697073
ShellieMay the Disney Bear,Female,Heroine,Disney,None,None,5.83392996108949
StellaLou,Female,Heroine,Disney,None,None,5.7992255892255855
TippyBlue,Male,Hero,Disney,None,None,5.624756446991401
Baloo,Male,Hero,Disney,The Jungle Book,1967,5.429802044458865
Bongo the Bear,Male,Hero,Disney,Fun and Fancy Free,1947,5.6030926216640475
Clarice,Female,Heroine,Disney,None,None,5.692354813046937
Clone Troopers,Male,Hero,Star Wars,Star Wars: Attack of the Clones,None,5.162020260492054
Don Karnage,Other,Villain,Disney,None,None,5.338128440366973
Ellie Steckler,Female,Heroine,Disney,Chip 'n Dale Rescue Rangers,2022,5.541375838926177
F.O.W.L.,Other,Villain,Disney,None,None,5.2863319386332
Fat Cat,Male,Villain,Disney,Chip 'n Dale Rescue Rangers,2022,5.465104669887273
Fezziwig,Male,Hero,Disney,A Christmas Carol,2009,5.509014925373133
Foxglove,Female,Heroine,Disney,None,None,5.5027459016393365
G2-9T,Other,Neutral,Other,None,None,5.446349206349207
Gadget Hackwrench,Female,Heroine,Disney,Chip 'n Dale Rescue Rangers,2022,5.530077170418
Herb and Binkie Muddlefoot,Female,Heroine,Disney,None,None,5.604311270125221
"Huey, Dewey, and Louie",Male,Hero,Disney,DuckTales the Movie: Treasure of the Lost Lamp,1990,5.491633205182979
Indiana Jones,Male,Hero,Other,Raiders of the Lost Ark,None,5.325363825363819
Jiminy Cricket,Male,Hero,Disney,Pinocchio,1940,5.488051068264718
Johnny Appleseed,Male,Hero,Disney,Melody Time,1948,5.660918462980313
Launchpad McQuack,Male,Hero,Disney,DuckTales the Movie: Treasure of the Lost Lamp,1990,5.44794030950626
Marvin Acme,Male,Hero,Other,Who Framed Roger Rabbit,1988,5.372210184182016
Millie,Female,Heroine,Disney,Chip 'n Dale Rescue Rangers,2022,5.562910798122066
Monterey Jack,Male,Hero,Disney,Chip 'n Dale Rescue Rangers,2022,5.558095872170436
Pete,Male,Hero,Disney,Who Framed Roger Rabbit,1988,5.422439249461708
Professor Norton Nimnul,Male,Villain,Disney,Chip 'n Dale Rescue Rangers,2022,5.385870229007633
Rescue Rangers,Female,Hero,Disney,Chip 'n Dale Rescue Rangers,2022,5.492411347517728
Scrooge McDuck,Male,Hero,Disney,DuckTales the Movie: Treasure of the Lost Lamp,1990,5.543668306394928
Steelbeak,Male,Villain,Disney,None,None,5.363572359843546
Tammy,Female,Heroine,Disney,None,None,5.567966507177024
Terra,Male,Hero,Disney,None,None,5.350343691148768
Tweedle Dee and Tweedle Dum,Male,Neutral,Disney,Alice in Wonderland,None,5.550548054011119
Zipper,Male,Hero,Disney,Chip 'n Dale Rescue Rangers,2022,5.562683363148478
"April, May, and June",Female,Heroine,Disney,None,None,5.552346368715076
Ariel,Female,Heroine,Disney,The Little Mermaid,1989,5.506576779553621
Beagle Boys,Male,Villain,Disney,Mickey's Once Upon a Christmas,1999,5.409045738045731
Beetleworx,Other,Villain,Disney,None,None,5.37819505094614
Captain Jumps-a-Lot,Male,Neutral,Disney,None,None,5.871034482758621
Clarabelle Cow,Female,Heroine,Disney,Who Framed Roger Rabbit,1988,5.563201248049917
Colonel Hathi,Male,Hero,Disney,The Jungle Book,1967,5.463443360840206
Daisy's parents,Female,Neutral,Disney,None,None,5.749425981873117
Darkwing Duck (character),Male,Hero,Disney,Chip 'n Dale Rescue Rangers,2022,5.388805422197105
Della Duck,Female,Heroine,Disney,None,None,5.47697636949517
Donald's son,Male,Neutral,Disney,None,None,5.609787985865727
Donna Duck,Female,Neutral,Disney,None,None,5.539153846153847
Emma Glamour,Female,Neutral,Disney,None,None,5.505963488843812
Falcon Graves,Male,Villain,Disney,None,None,5.398646616541356
Fethry Duck,Male,Hero,Disney,None,None,5.688381240544624
Gladstone Gander,Male,Neutral,Disney,None,None,5.540539956803448
Gyro Gearloose,Male,Hero,Disney,None,None,5.469077134986227
Iago,Male,Hero,Disney,Aladdin,1992,5.384896043892584
Jafar,Male,Villain,Disney,Aladdin,1992,5.357638927804226
Knuckles,Male,Neutral,Disney,None,None,5.437746666666664
Ludwig Von Drake,Male,Hero,Disney,Mickey's Magical Christmas: Snowed in at the House of Mouse,2001,5.50830564237539
Mad Doctor,Male,Villain,Disney,None,None,5.336913145539903
Merlock the Magician,Male,Villain,Disney,DuckTales the Movie: Treasure of the Lost Lamp,1990,5.3569510268562395
Ortensia,Female,Heroine,Disney,Doctor Strange in the Multiverse of Madness,None,5.50133610725844
Oswald the Lucky Rabbit,Male,Hero,Disney,Big Hero 6,None,5.547085368690387
Rapunzel,Female,Heroine,Disney,Tangled,2010,5.456714139081339
Sora,Male,Hero,Disney,None,None,5.398184357541888
Super Daisy,Female,Heroine,Disney,None,None,5.745425101214576
The Duck Avenger,Male,Hero,Disney,None,None,5.416627318718377
Webby Vanderquack,Female,Heroine,Disney,DuckTales the Movie: Treasure of the Lost Lamp,1990,5.562488864142538
Angelo Davini,Male,Villain,Disney,None,None,5.4647598253275085
Anne Boonchuy,Female,Heroine,Disney,None,None,5.421567503459165
Aracuan Bird,Male,Neutral,Disney,The Three Caballeros,1944,5.561737331954509
Baby Shelby,Male,Villain,Disney,None,None,5.666875000000001
Baron Von Sheldgoose,Male,Villain,Disney,None,None,5.555921052631578
Bolivar,Male,Neutral,Disney,None,None,5.577053291536045
Bonkers D. Bobcat,Male,Hero,Disney,Chip 'n Dale Rescue Rangers,2022,5.488146551724132
Captain Hook,Male,Villain,Disney,Peter Pan,1953,5.353413743991442
Clinton Coot,Male,Neutral,Disney,None,None,5.586335766423358
Cruella De Vil,Female,Villain,Disney,One Hundred and One Dalmatians,1961,5.364617447093751
Downy McDuck,Female,Neutral,Disney,None,None,5.672859680284187
Fergus McDuck,Male,Neutral,Disney,None,None,5.570334763948486
Flintheart Glomgold,Male,Villain,Disney,None,None,5.415752042287355
General Lunaris,Male,Villain,Disney,None,None,5.3081182795698885
Gideon McDuck,Male,Neutral,Disney,None,None,5.570808678500988
Giulia Marcovaldo,Female,Heroine,Pixar,Luca,2021,5.482334261838437
Golden Harp,Female,Heroine,Disney,Fun and Fancy Free,1947,5.728438596491228
Gosalyn Mallard,Female,Heroine,Disney,None,None,5.386080178173721
Grandma Duck,Female,Heroine,Disney,None,None,5.7400820793433605
Grandpa Duck,Male,Neutral,Disney,None,None,5.486950672645743
Gus Goose,Male,Neutral,Disney,Who Framed Roger Rabbit,1988,5.6493251533742255
Hortense McDuck,Female,Heroine,Disney,None,None,5.667130242825599
Hudson,Male,Hero,Disney,None,None,5.4337281795511245
Jenny the Burro,Female,Neutral,Disney,None,None,5.5619047619047635
Joey the Kangaroo,Male,Neutral,Disney,None,None,5.717543859649122
John D. Rockerduck,Male,Villain,Disney,None,None,5.4681532779316715
José Carioca,Male,Hero,Disney,Saludos Amigos,1942,5.57552415026833
Judge Doom,Male,Villain,Disney,Who Framed Roger Rabbit,1988,5.194365032486705
Kent Powers,Male,Villain,Disney,None,None,5.434095238095233
Kermit the Frog,Male,Hero,Other,The Muppet Movie,None,5.529676385773796
King Triton,Male,Hero,Disney,The Little Mermaid,1989,5.454874235214144
Lord Felldrake Sheldgoose,Male,Villain,Disney,None,None,5.392576271186437
Lucky Piquel,Male,Hero,Disney,None,None,5.492250332889474
Magica De Spell,Female,Villain,Disney,Black Widow,None,5.420399153311159
Maleficent,Female,Villain,Disney,Sleeping Beauty,1959,5.392557971668314
Moby Duck,Other,Neutral,Disney,None,None,5.646860465116283
Mr. Smee,Male,Villain,Disney,Peter Pan,1953,5.406849625765486
Neighbor Jones,Male,Neutral,Disney,None,None,5.539084112149534
One-Eyed Wally,Male,Hero,Disney,None,None,5.299337717238137
Panchito Pistoles,Male,Hero,Disney,The Three Caballeros,1944,5.539101068999016
Penumbra,Female,Heroine,Disney,None,None,5.437764371894966
Peter Pig,Male,Hero,Disney,Who Framed Roger Rabbit,1988,5.505961538461539
Pumbaa,Male,Hero,Disney,The Lion King,1994,5.421945580371192
Quackmore Duck,Male,Neutral,Disney,None,None,5.661696284329564
Rumpus McFowl,Other,Neutral,Disney,None,None,5.584649122807015
Snow White,Female,Heroine,Disney,Snow White and the Seven Dwarfs,1937,5.543412405210963
Stitch,Male,Hero,Disney,Lilo & Stitch,2002,5.418428355673025
Tabby,Male,Hero,Disney,None,None,5.561550151975683
The Wise Little Hen (character),Female,Heroine,Disney,The Wise Little Hen,1934,5.597562189054723
Tinker Bell,Female,Heroine,Disney,Peter Pan,1953,5.470926644978484
